new_cases,date,popluation,AgeGroup
7,36,7544000,1
1,36,7544000,2
10,36,7544000,3
5,36,7544000,4
16,36,7544000,5
0,36,245353,1
0,36,245353,2
0,36,245353,3
0,36,245353,4
2,36,245353,5
8,36,5071000,1
4,36,5071000,2
15,36,5071000,3
10,36,5071000,4
32,36,5071000,5
5,36,1677000,1
2,36,1677000,2
3,36,1677000,3
1,36,1677000,4
3,36,1677000,5
3,36,2589000,1
2,36,2589000,2
9,36,2589000,3
6,36,2589000,4
9,36,2589000,5
4,36,2589000,1
0,36,2589000,2
2,36,2589000,3
4,36,2589000,4
8,36,2589000,5
7,36,7544000,1
1,36,7544000,2
10,36,7544000,3
5,36,7544000,4
16,36,7544000,5
8,36,5071000,1
4,36,5071000,2
15,36,5071000,3
10,36,5071000,4
32,36,5071000,5
5,36,1677000,1
2,36,1677000,2
3,36,1677000,3
1,36,1677000,4
3,36,1677000,5
0,36,2589000,1
0,36,2589000,2
0,36,2589000,3
0,36,2589000,4
1,36,2589000,5
3,36,2589000,1
2,36,2589000,2
9,36,2589000,3
6,36,2589000,4
9,36,2589000,5
4,36,2589000,1
0,36,2589000,2
2,36,2589000,3
4,36,2589000,4
8,36,2589000,5
7,36,7544000,1
1,36,7544000,2
10,36,7544000,3
5,36,7544000,4
16,36,7544000,5
0,36,245353,1
0,36,245353,2
0,36,245353,3
0,36,245353,4
2,36,245353,5
8,36,5071000,1
4,36,5071000,2
15,36,5071000,3
10,36,5071000,4
32,36,5071000,5
5,36,1677000,1
2,36,1677000,2
3,36,1677000,3
1,36,1677000,4
3,36,1677000,5
3,36,2589000,1
2,36,2589000,2
9,36,2589000,3
6,36,2589000,4
9,36,2589000,5
4,36,2589000,1
0,36,2589000,2
2,36,2589000,3
4,36,2589000,4
8,36,2589000,5
9,395,7544000,1
6,395,7544000,2
13,395,7544000,3
8,395,7544000,4
36,395,7544000,5
1,395,245353,1
0,395,245353,2
2,395,245353,3
1,395,245353,4
3,395,245353,5
15,395,5071000,1
6,395,5071000,2
21,395,5071000,3
21,395,5071000,4
48,395,5071000,5
5,395,1677000,1
1,395,1677000,2
13,395,1677000,3
7,395,1677000,4
23,395,1677000,5
1,395,2589000,1
0,395,2589000,2
1,395,2589000,3
4,395,2589000,4
2,395,2589000,5
7,395,2589000,1
2,395,2589000,2
8,395,2589000,3
10,395,2589000,4
12,395,2589000,5
4,395,2589000,1
0,395,2589000,2
6,395,2589000,3
5,395,2589000,4
23,395,2589000,5
9,395,7544000,1
6,395,7544000,2
13,395,7544000,3
8,395,7544000,4
36,395,7544000,5
1,395,245353,1
0,395,245353,2
2,395,245353,3
1,395,245353,4
3,395,245353,5
15,395,5071000,1
6,395,5071000,2
21,395,5071000,3
21,395,5071000,4
48,395,5071000,5
5,395,1677000,1
1,395,1677000,2
13,395,1677000,3
7,395,1677000,4
23,395,1677000,5
1,395,2589000,1
0,395,2589000,2
1,395,2589000,3
4,395,2589000,4
2,395,2589000,5
7,395,2589000,1
2,395,2589000,2
8,395,2589000,3
